MYA	Mmus_B6Con	Mmus_LEW	Mmus_NY2	Mmus_FL1	Mmus_NY4	Mspic_ZBN	Mspic_SPITUA	Mpah	Pman
Mmus_B6Con	0	100	100	100	100	2830000	2830000	8300000	33000000
Mmus_LEW	100	0	100	100	100	2830000	2830000	8300000	33000000
Mmus_NY2	100	100	0	100	50	2830000	2830000	8300000	33000000
Mmus_FL1	100	100	100	0	100	2830000	2830000	8300000	33000000
Mmus_NY4	100	100	50	100	0	2830000	2830000	8300000	33000000
Mspic_ZBN	2830000	2830000	2830000	2830000	2830000	0	1000	8300000	33000000
Mspic_SPITUA	2830000	2830000	2830000	2830000	2830000	1000	0	8300000	33000000
Mpah	8300000	8300000	8300000	8300000	8300000	8300000	8300000	0	33000000
Pman	33000000	33000000	33000000	33000000	33000000	33000000	33000000	33000000	0
